Sub;Stimulation;Type;Choice;Rating;Evaluation
4;sham;Post-Ex;Rejected;R1;6.1
5;sham;Post-Ex;Rejected;R1;5.977272727
6;sham;Post-Ex;Rejected;R1;6.227272727
7;sham;Post-Ex;Rejected;R1;6.5
8;sham;Post-Ex;Rejected;R1;7.088235294
9;sham;Post-Ex;Rejected;R1;6.349056604
10;sham;Post-Ex;Rejected;R1;5.261904762
11;sham;Post-Ex;Rejected;R1;6.78
12;sham;Post-Ex;Rejected;R1;6.175
13;sham;Post-Ex;Rejected;R1;6.2
14;sham;Post-Ex;Rejected;R1;6.571428571
15;sham;Post-Ex;Rejected;R1;7.863636364
16;sham;Post-Ex;Rejected;R1;6.529411765
17;sham;Post-Ex;Rejected;R1;6.225806452
1;sham;Difficult;Selected;R2;7.473684211
2;sham;Difficult;Selected;R2;5.666666667
3;sham;Difficult;Selected;R2;5.590909091
4;sham;Difficult;Selected;R2;6.142857143
5;sham;Difficult;Selected;R2;6.607142857
6;sham;Difficult;Selected;R2;6
7;sham;Difficult;Selected;R2;6.970588235
8;sham;Difficult;Selected;R2;7.285714286
9;sham;Difficult;Selected;R2;6.85106383
10;sham;Difficult;Selected;R2;5.206896552
11;sham;Difficult;Selected;R2;7.260869565
12;sham;Difficult;Selected;R2;6.631578947
13;sham;Difficult;Selected;R2;6.318181818
14;sham;Difficult;Selected;R2;5.95
15;sham;Difficult;Selected;R2;6.533333333
16;sham;Difficult;Selected;R2;5.933333333
17;sham;Difficult;Selected;R2;5.47826087
1;sham;Easy;Selected;R2;6.64
2;sham;Easy;Selected;R2;5.545454545
3;sham;Easy;Selected;R2;6.125
4;sham;Easy;Selected;R2;6.21875
5;sham;Easy;Selected;R2;6.290322581
6;sham;Easy;Selected;R2;6.277777778
7;sham;Easy;Selected;R2;6.846153846
8;sham;Easy;Selected;R2;7.275
9;sham;Easy;Selected;R2;7.2
10;sham;Easy;Selected;R2;5.714285714
11;sham;Easy;Selected;R2;6.619047619
12;sham;Easy;Selected;R2;6.28
13;sham;Easy;Selected;R2;6.259259259
14;sham;Easy;Selected;R2;5.828571429
15;sham;Easy;Selected;R2;5.944444444
16;sham;Easy;Selected;R2;6.888888889
17;sham;Easy;Selected;R2;5.837837838
1;sham;Computer;Selected;R2;6.25
2;sham;Computer;Selected;R2;5.125
3;sham;Computer;Selected;R2;5.1875
4;sham;Computer;Selected;R2;5.971428571
5;sham;Computer;Selected;R2;5.954545455
6;sham;Computer;Selected;R2;5.863636364
7;sham;Computer;Selected;R2;6.242424242
8;sham;Computer;Selected;R2;7.323529412
9;sham;Computer;Selected;R2;6.320754717
10;sham;Computer;Selected;R2;5.19047619
11;sham;Computer;Selected;R2;6.56
